Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-tloe,branch-b7np,randomiser-oo54,randomiser-5zfx,randomiser-rrwr,randomiser-39gv,branch-m511,quota-so7f,quota-bi7i,branch-k46k,Randomise questionnaire elements?,Question Key,Response
1,1703307970759,23/12/2023 05:06:10,1703307970628,0,23/12/2023 05:06:10,155541,10,questionnaire-4eaj,,33849048,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,,Demographics Questionnaire,4,,control,,,,set 2,Controls,ACCEPT,,Controls,No,BEGIN QUESTIONNAIRE,
2,1703308000826,23/12/2023 05:06:40,1703308000749,0,23/12/2023 05:06:40,155541,10,questionnaire-4eaj,,33849048,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,,Demographics Questionnaire,4,,control,,,,set 2,Controls,ACCEPT,,Controls,No,Age,18
3,1703308000881,23/12/2023 05:06:40,1703308000751,0,23/12/2023 05:06:40,155541,10,questionnaire-4eaj,,33849048,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,,Demographics Questionnaire,4,,control,,,,set 2,Controls,ACCEPT,,Controls,No,Gender,Woman
4,1703308000881,23/12/2023 05:06:40,1703308000751,0,23/12/2023 05:06:40,155541,10,questionnaire-4eaj,,33849048,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,,Demographics Questionnaire,4,,control,,,,set 2,Controls,ACCEPT,,Controls,No,Gender-quantised,2
5,1703308000881,23/12/2023 05:06:40,1703308000751,0,23/12/2023 05:06:40,155541,10,questionnaire-4eaj,,33849048,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,,Demographics Questionnaire,4,,control,,,,set 2,Controls,ACCEPT,,Controls,No,Gender-text,
6,1703308000881,23/12/2023 05:06:40,1703308000751,0,23/12/2023 05:06:40,155541,10,questionnaire-4eaj,,33849048,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,,Demographics Questionnaire,4,,control,,,,set 2,Controls,ACCEPT,,Controls,No,footedness,Right
7,1703308000881,23/12/2023 05:06:40,1703308000751,0,23/12/2023 05:06:40,155541,10,questionnaire-4eaj,,33849048,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,,Demographics Questionnaire,4,,control,,,,set 2,Controls,ACCEPT,,Controls,No,footedness-quantised,2
8,1703308000881,23/12/2023 05:06:40,1703308000751,0,23/12/2023 05:06:40,155541,10,questionnaire-4eaj,,33849048,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,,Demographics Questionnaire,4,,control,,,,set 2,Controls,ACCEPT,,Controls,No,categorical_hand,Right
9,1703308000881,23/12/2023 05:06:40,1703308000751,0,23/12/2023 05:06:40,155541,10,questionnaire-4eaj,,33849048,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,,Demographics Questionnaire,4,,control,,,,set 2,Controls,ACCEPT,,Controls,No,categorical_hand-quantised,2
10,1703308000881,23/12/2023 05:06:40,1703308000751,0,23/12/2023 05:06:40,155541,10,questionnaire-4eaj,,33849048,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,,Demographics Questionnaire,4,,control,,,,set 2,Controls,ACCEPT,,Controls,No,age_education,Yes
11,1703308000881,23/12/2023 05:06:40,1703308000751,0,23/12/2023 05:06:40,155541,10,questionnaire-4eaj,,33849048,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,,Demographics Questionnaire,4,,control,,,,set 2,Controls,ACCEPT,,Controls,No,age_education-quantised,1
12,1703308000881,23/12/2023 05:06:40,1703308000752,0,23/12/2023 05:06:40,155541,10,questionnaire-4eaj,,33849048,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,,Demographics Questionnaire,4,,control,,,,set 2,Controls,ACCEPT,,Controls,No,age_education-text,
13,1703308000881,23/12/2023 05:06:40,1703308000752,0,23/12/2023 05:06:40,155541,10,questionnaire-4eaj,,33849048,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,,Demographics Questionnaire,4,,control,,,,set 2,Controls,ACCEPT,,Controls,No,bilingual,No
14,1703308000881,23/12/2023 05:06:40,1703308000752,0,23/12/2023 05:06:40,155541,10,questionnaire-4eaj,,33849048,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,,Demographics Questionnaire,4,,control,,,,set 2,Controls,ACCEPT,,Controls,No,bilingual-quantised,1
15,1703308000881,23/12/2023 05:06:40,1703308000752,0,23/12/2023 05:06:40,155541,10,questionnaire-4eaj,,33849048,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,,Demographics Questionnaire,4,,control,,,,set 2,Controls,ACCEPT,,Controls,No,bilingual-text,
16,1703308000881,23/12/2023 05:06:40,1703308000752,0,23/12/2023 05:06:40,155541,10,questionnaire-4eaj,,33849048,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,,Demographics Questionnaire,4,,control,,,,set 2,Controls,ACCEPT,,Controls,No,END QUESTIONNAIRE,30124
1,1703416869531,24/12/2023 11:21:09,1703416869431,0,24/12/2023 11:21:09,155541,10,questionnaire-4eaj,,33855966,BLIND,10014563,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x900,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,Controls,No,BEGIN QUESTIONNAIRE,
2,1703416904149,24/12/2023 11:21:44,1703416904102,0,24/12/2023 11:21:44,155541,10,questionnaire-4eaj,,33855966,BLIND,10014563,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x900,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,Controls,No,Age,20
3,1703416904222,24/12/2023 11:21:44,1703416904103,0,24/12/2023 11:21:44,155541,10,questionnaire-4eaj,,33855966,BLIND,10014563,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x900,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,Controls,No,Gender,Woman
4,1703416904222,24/12/2023 11:21:44,1703416904103,0,24/12/2023 11:21:44,155541,10,questionnaire-4eaj,,33855966,BLIND,10014563,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x900,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,Controls,No,Gender-quantised,2
5,1703416904222,24/12/2023 11:21:44,1703416904103,0,24/12/2023 11:21:44,155541,10,questionnaire-4eaj,,33855966,BLIND,10014563,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x900,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,Controls,No,Gender-text,
6,1703416904222,24/12/2023 11:21:44,1703416904103,0,24/12/2023 11:21:44,155541,10,questionnaire-4eaj,,33855966,BLIND,10014563,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x900,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,Controls,No,footedness,Right
7,1703416904222,24/12/2023 11:21:44,1703416904104,0,24/12/2023 11:21:44,155541,10,questionnaire-4eaj,,33855966,BLIND,10014563,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x900,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,Controls,No,footedness-quantised,2
8,1703416904222,24/12/2023 11:21:44,1703416904104,0,24/12/2023 11:21:44,155541,10,questionnaire-4eaj,,33855966,BLIND,10014563,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x900,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,Controls,No,categorical_hand,Right
9,1703416904222,24/12/2023 11:21:44,1703416904104,0,24/12/2023 11:21:44,155541,10,questionnaire-4eaj,,33855966,BLIND,10014563,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x900,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,Controls,No,categorical_hand-quantised,2
10,1703416904222,24/12/2023 11:21:44,1703416904104,0,24/12/2023 11:21:44,155541,10,questionnaire-4eaj,,33855966,BLIND,10014563,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x900,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,Controls,No,age_education,Yes
11,1703416904222,24/12/2023 11:21:44,1703416904104,0,24/12/2023 11:21:44,155541,10,questionnaire-4eaj,,33855966,BLIND,10014563,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x900,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,Controls,No,age_education-quantised,1
12,1703416904222,24/12/2023 11:21:44,1703416904104,0,24/12/2023 11:21:44,155541,10,questionnaire-4eaj,,33855966,BLIND,10014563,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x900,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,Controls,No,age_education-text,
13,1703416904222,24/12/2023 11:21:44,1703416904104,0,24/12/2023 11:21:44,155541,10,questionnaire-4eaj,,33855966,BLIND,10014563,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x900,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,Controls,No,bilingual,Yes. My strongest language is:
14,1703416904222,24/12/2023 11:21:44,1703416904104,0,24/12/2023 11:21:44,155541,10,questionnaire-4eaj,,33855966,BLIND,10014563,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x900,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,Controls,No,bilingual-text,english
15,1703416904222,24/12/2023 11:21:44,1703416904105,0,24/12/2023 11:21:44,155541,10,questionnaire-4eaj,,33855966,BLIND,10014563,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x900,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,Controls,No,END QUESTIONNAIRE,34674
1,1703484419742,25/12/2023 06:06:59,1703484421373,0,25/12/2023 06:07:01,155541,10,questionnaire-4eaj,,33858620,BLIND,10015335,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Demographics Questionnaire,4,,control,,,,set 2,Controls,ACCEPT,,Controls,No,BEGIN QUESTIONNAIRE,
2,1703484452322,25/12/2023 06:07:32,1703484454013,0,25/12/2023 06:07:34,155541,10,questionnaire-4eaj,,33858620,BLIND,10015335,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1263x551,,,,Demographics Questionnaire,4,,control,,,,set 2,Controls,ACCEPT,,Controls,No,Age,18
3,1703484452390,25/12/2023 06:07:32,1703484454015,0,25/12/2023 06:07:34,155541,10,questionnaire-4eaj,,33858620,BLIND,10015335,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1263x551,,,,Demographics Questionnaire,4,,control,,,,set 2,Controls,ACCEPT,,Controls,No,Gender,Woman
4,1703484452390,25/12/2023 06:07:32,1703484454015,0,25/12/2023 06:07:34,155541,10,questionnaire-4eaj,,33858620,BLIND,10015335,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1263x551,,,,Demographics Questionnaire,4,,control,,,,set 2,Controls,ACCEPT,,Controls,No,Gender-quantised,2
5,1703484452390,25/12/2023 06:07:32,1703484454015,0,25/12/2023 06:07:34,155541,10,questionnaire-4eaj,,33858620,BLIND,10015335,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1263x551,,,,Demographics Questionnaire,4,,control,,,,set 2,Controls,ACCEPT,,Controls,No,Gender-text,
6,1703484452390,25/12/2023 06:07:32,1703484454015,0,25/12/2023 06:07:34,155541,10,questionnaire-4eaj,,33858620,BLIND,10015335,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1263x551,,,,Demographics Questionnaire,4,,control,,,,set 2,Controls,ACCEPT,,Controls,No,footedness,Right
7,1703484452390,25/12/2023 06:07:32,1703484454015,0,25/12/2023 06:07:34,155541,10,questionnaire-4eaj,,33858620,BLIND,10015335,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1263x551,,,,Demographics Questionnaire,4,,control,,,,set 2,Controls,ACCEPT,,Controls,No,footedness-quantised,2
8,1703484452390,25/12/2023 06:07:32,1703484454015,0,25/12/2023 06:07:34,155541,10,questionnaire-4eaj,,33858620,BLIND,10015335,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1263x551,,,,Demographics Questionnaire,4,,control,,,,set 2,Controls,ACCEPT,,Controls,No,categorical_hand,Right
9,1703484452390,25/12/2023 06:07:32,1703484454015,0,25/12/2023 06:07:34,155541,10,questionnaire-4eaj,,33858620,BLIND,10015335,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1263x551,,,,Demographics Questionnaire,4,,control,,,,set 2,Controls,ACCEPT,,Controls,No,categorical_hand-quantised,2
10,1703484452390,25/12/2023 06:07:32,1703484454016,0,25/12/2023 06:07:34,155541,10,questionnaire-4eaj,,33858620,BLIND,10015335,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1263x551,,,,Demographics Questionnaire,4,,control,,,,set 2,Controls,ACCEPT,,Controls,No,age_education,Yes
11,1703484452390,25/12/2023 06:07:32,1703484454016,0,25/12/2023 06:07:34,155541,10,questionnaire-4eaj,,33858620,BLIND,10015335,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1263x551,,,,Demographics Questionnaire,4,,control,,,,set 2,Controls,ACCEPT,,Controls,No,age_education-quantised,1
12,1703484452390,25/12/2023 06:07:32,1703484454016,0,25/12/2023 06:07:34,155541,10,questionnaire-4eaj,,33858620,BLIND,10015335,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1263x551,,,,Demographics Questionnaire,4,,control,,,,set 2,Controls,ACCEPT,,Controls,No,age_education-text,
13,1703484452390,25/12/2023 06:07:32,1703484454016,0,25/12/2023 06:07:34,155541,10,questionnaire-4eaj,,33858620,BLIND,10015335,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1263x551,,,,Demographics Questionnaire,4,,control,,,,set 2,Controls,ACCEPT,,Controls,No,bilingual,No
14,1703484452390,25/12/2023 06:07:32,1703484454016,0,25/12/2023 06:07:34,155541,10,questionnaire-4eaj,,33858620,BLIND,10015335,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1263x551,,,,Demographics Questionnaire,4,,control,,,,set 2,Controls,ACCEPT,,Controls,No,bilingual-quantised,1
15,1703484452390,25/12/2023 06:07:32,1703484454016,0,25/12/2023 06:07:34,155541,10,questionnaire-4eaj,,33858620,BLIND,10015335,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1263x551,,,,Demographics Questionnaire,4,,control,,,,set 2,Controls,ACCEPT,,Controls,No,bilingual-text,
16,1703484452390,25/12/2023 06:07:32,1703484454016,0,25/12/2023 06:07:34,155541,10,questionnaire-4eaj,,33858620,BLIND,10015335,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1263x551,,,,Demographics Questionnaire,4,,control,,,,set 2,Controls,ACCEPT,,Controls,No,END QUESTIONNAIRE,32643
1,1703526309217,25/12/2023 17:45:09,1703526309127,0,25/12/2023 17:45:09,155541,10,questionnaire-4eaj,,33860343,BLIND,10015908,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1470x956,1324x763,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,Controls,No,BEGIN QUESTIONNAIRE,
2,1703526336649,25/12/2023 17:45:36,1703526336600,0,25/12/2023 17:45:36,155541,10,questionnaire-4eaj,,33860343,BLIND,10015908,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1470x956,1324x763,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,Controls,No,Age,19
3,1703526336741,25/12/2023 17:45:36,1703526336603,0,25/12/2023 17:45:36,155541,10,questionnaire-4eaj,,33860343,BLIND,10015908,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1470x956,1324x763,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,Controls,No,Gender,Woman
4,1703526336741,25/12/2023 17:45:36,1703526336603,0,25/12/2023 17:45:36,155541,10,questionnaire-4eaj,,33860343,BLIND,10015908,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1470x956,1324x763,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,Controls,No,Gender-quantised,2
5,1703526336741,25/12/2023 17:45:36,1703526336603,0,25/12/2023 17:45:36,155541,10,questionnaire-4eaj,,33860343,BLIND,10015908,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1470x956,1324x763,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,Controls,No,Gender-text,
6,1703526336741,25/12/2023 17:45:36,1703526336603,0,25/12/2023 17:45:36,155541,10,questionnaire-4eaj,,33860343,BLIND,10015908,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1470x956,1324x763,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,Controls,No,footedness,Don't know / No preference
7,1703526336741,25/12/2023 17:45:36,1703526336603,0,25/12/2023 17:45:36,155541,10,questionnaire-4eaj,,33860343,BLIND,10015908,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1470x956,1324x763,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,Controls,No,footedness-quantised,3
8,1703526336741,25/12/2023 17:45:36,1703526336603,0,25/12/2023 17:45:36,155541,10,questionnaire-4eaj,,33860343,BLIND,10015908,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1470x956,1324x763,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,Controls,No,categorical_hand,Right
9,1703526336741,25/12/2023 17:45:36,1703526336603,0,25/12/2023 17:45:36,155541,10,questionnaire-4eaj,,33860343,BLIND,10015908,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1470x956,1324x763,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,Controls,No,categorical_hand-quantised,2
10,1703526336741,25/12/2023 17:45:36,1703526336603,0,25/12/2023 17:45:36,155541,10,questionnaire-4eaj,,33860343,BLIND,10015908,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1470x956,1324x763,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,Controls,No,age_education,Yes
11,1703526336741,25/12/2023 17:45:36,1703526336604,0,25/12/2023 17:45:36,155541,10,questionnaire-4eaj,,33860343,BLIND,10015908,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1470x956,1324x763,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,Controls,No,age_education-quantised,1
12,1703526336741,25/12/2023 17:45:36,1703526336604,0,25/12/2023 17:45:36,155541,10,questionnaire-4eaj,,33860343,BLIND,10015908,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1470x956,1324x763,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,Controls,No,age_education-text,
13,1703526336741,25/12/2023 17:45:36,1703526336604,0,25/12/2023 17:45:36,155541,10,questionnaire-4eaj,,33860343,BLIND,10015908,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1470x956,1324x763,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,Controls,No,bilingual,No
14,1703526336741,25/12/2023 17:45:36,1703526336604,0,25/12/2023 17:45:36,155541,10,questionnaire-4eaj,,33860343,BLIND,10015908,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1470x956,1324x763,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,Controls,No,bilingual-quantised,1
15,1703526336741,25/12/2023 17:45:36,1703526336604,0,25/12/2023 17:45:36,155541,10,questionnaire-4eaj,,33860343,BLIND,10015908,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1470x956,1324x763,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,Controls,No,bilingual-text,
16,1703526336741,25/12/2023 17:45:36,1703526336604,0,25/12/2023 17:45:36,155541,10,questionnaire-4eaj,,33860343,BLIND,10015908,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1470x956,1324x763,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,Controls,No,END QUESTIONNAIRE,27477
1,1703536387720,25/12/2023 20:33:07,1703536387629,0,25/12/2023 20:33:07,155541,10,questionnaire-4eaj,,33860706,BLIND,10015992,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.4,1440x900,1440x820,,,,Demographics Questionnaire,4,,asd,,set 1,,,Neurodiverse,,ACCEPT,Neurodiverse,No,BEGIN QUESTIONNAIRE,
2,1703536404008,25/12/2023 20:33:24,1703536403946,0,25/12/2023 20:33:23,155541,10,questionnaire-4eaj,,33860706,BLIND,10015992,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.4,1440x900,1440x820,,,,Demographics Questionnaire,4,,asd,,set 1,,,Neurodiverse,,ACCEPT,Neurodiverse,No,Age,18
3,1703536404065,25/12/2023 20:33:24,1703536403948,0,25/12/2023 20:33:23,155541,10,questionnaire-4eaj,,33860706,BLIND,10015992,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.4,1440x900,1440x820,,,,Demographics Questionnaire,4,,asd,,set 1,,,Neurodiverse,,ACCEPT,Neurodiverse,No,Gender,Woman
4,1703536404065,25/12/2023 20:33:24,1703536403948,0,25/12/2023 20:33:23,155541,10,questionnaire-4eaj,,33860706,BLIND,10015992,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.4,1440x900,1440x820,,,,Demographics Questionnaire,4,,asd,,set 1,,,Neurodiverse,,ACCEPT,Neurodiverse,No,Gender-quantised,2
5,1703536404065,25/12/2023 20:33:24,1703536403948,0,25/12/2023 20:33:23,155541,10,questionnaire-4eaj,,33860706,BLIND,10015992,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.4,1440x900,1440x820,,,,Demographics Questionnaire,4,,asd,,set 1,,,Neurodiverse,,ACCEPT,Neurodiverse,No,Gender-text,
6,1703536404065,25/12/2023 20:33:24,1703536403948,0,25/12/2023 20:33:23,155541,10,questionnaire-4eaj,,33860706,BLIND,10015992,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.4,1440x900,1440x820,,,,Demographics Questionnaire,4,,asd,,set 1,,,Neurodiverse,,ACCEPT,Neurodiverse,No,footedness,Don't know / No preference
