Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,checkpoint-35ov,Randomise questionnaire elements?,Question Key,Response
1,1721984921170,26/07/2024 09:08:41,1721984920742,1,26/07/2024 10:08:40,180633,7,questionnaire-ynix,,39212579,BLIND,11503016,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,Prize Draw,,,Consent form,3,Set1,Consent,Over 18,Proficiency English,Prize Draw,No,BEGIN QUESTIONNAIRE,
2,1721984928929,26/07/2024 09:08:48,1721984928557,1,26/07/2024 10:08:48,180633,7,questionnaire-ynix,,39212579,BLIND,11503016,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1519x738,Prize Draw,,,Consent form,3,Set1,Consent,Over 18,Proficiency English,Prize Draw,No,consent1,1
3,1721984928979,26/07/2024 09:08:48,1721984928558,1,26/07/2024 10:08:48,180633,7,questionnaire-ynix,,39212579,BLIND,11503016,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1519x738,Prize Draw,,,Consent form,3,Set1,Consent,Over 18,Proficiency English,Prize Draw,No,consent2,1
4,1721984928979,26/07/2024 09:08:48,1721984928558,1,26/07/2024 10:08:48,180633,7,questionnaire-ynix,,39212579,BLIND,11503016,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1519x738,Prize Draw,,,Consent form,3,Set1,Consent,Over 18,Proficiency English,Prize Draw,No,consent3,1
5,1721984928979,26/07/2024 09:08:48,1721984928558,1,26/07/2024 10:08:48,180633,7,questionnaire-ynix,,39212579,BLIND,11503016,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1519x738,Prize Draw,,,Consent form,3,Set1,Consent,Over 18,Proficiency English,Prize Draw,No,consent4,1
6,1721984928979,26/07/2024 09:08:48,1721984928558,1,26/07/2024 10:08:48,180633,7,questionnaire-ynix,,39212579,BLIND,11503016,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1519x738,Prize Draw,,,Consent form,3,Set1,Consent,Over 18,Proficiency English,Prize Draw,No,consent5,1
7,1721984928979,26/07/2024 09:08:48,1721984928558,1,26/07/2024 10:08:48,180633,7,questionnaire-ynix,,39212579,BLIND,11503016,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1519x738,Prize Draw,,,Consent form,3,Set1,Consent,Over 18,Proficiency English,Prize Draw,No,consent6,1
8,1721984928979,26/07/2024 09:08:48,1721984928559,1,26/07/2024 10:08:48,180633,7,questionnaire-ynix,,39212579,BLIND,11503016,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1519x738,Prize Draw,,,Consent form,3,Set1,Consent,Over 18,Proficiency English,Prize Draw,No,consent7,1
9,1721984928979,26/07/2024 09:08:48,1721984928559,1,26/07/2024 10:08:48,180633,7,questionnaire-ynix,,39212579,BLIND,11503016,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1519x738,Prize Draw,,,Consent form,3,Set1,Consent,Over 18,Proficiency English,Prize Draw,No,END QUESTIONNAIRE,7817
1,1722212741769,29/07/2024 00:25:41,1722212741509,1,29/07/2024 01:25:41,180633,7,questionnaire-ynix,,39247161,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,,Consent form,3,Set2,Consent,Over 18,Proficiency English,Prize Draw,No,BEGIN QUESTIONNAIRE,
2,1722212749747,29/07/2024 00:25:49,1722212749521,1,29/07/2024 01:25:49,180633,7,questionnaire-ynix,,39247161,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1519x729,Prize Draw,,,Consent form,3,Set2,Consent,Over 18,Proficiency English,Prize Draw,No,consent1,1
3,1722212749803,29/07/2024 00:25:49,1722212749521,1,29/07/2024 01:25:49,180633,7,questionnaire-ynix,,39247161,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1519x729,Prize Draw,,,Consent form,3,Set2,Consent,Over 18,Proficiency English,Prize Draw,No,consent2,1
4,1722212749803,29/07/2024 00:25:49,1722212749521,1,29/07/2024 01:25:49,180633,7,questionnaire-ynix,,39247161,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1519x729,Prize Draw,,,Consent form,3,Set2,Consent,Over 18,Proficiency English,Prize Draw,No,consent3,1
5,1722212749803,29/07/2024 00:25:49,1722212749521,1,29/07/2024 01:25:49,180633,7,questionnaire-ynix,,39247161,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1519x729,Prize Draw,,,Consent form,3,Set2,Consent,Over 18,Proficiency English,Prize Draw,No,consent4,1
6,1722212749803,29/07/2024 00:25:49,1722212749522,1,29/07/2024 01:25:49,180633,7,questionnaire-ynix,,39247161,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1519x729,Prize Draw,,,Consent form,3,Set2,Consent,Over 18,Proficiency English,Prize Draw,No,consent5,1
7,1722212749803,29/07/2024 00:25:49,1722212749522,1,29/07/2024 01:25:49,180633,7,questionnaire-ynix,,39247161,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1519x729,Prize Draw,,,Consent form,3,Set2,Consent,Over 18,Proficiency English,Prize Draw,No,consent6,1
8,1722212749803,29/07/2024 00:25:49,1722212749522,1,29/07/2024 01:25:49,180633,7,questionnaire-ynix,,39247161,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1519x729,Prize Draw,,,Consent form,3,Set2,Consent,Over 18,Proficiency English,Prize Draw,No,consent7,1
9,1722212749803,29/07/2024 00:25:49,1722212749522,1,29/07/2024 01:25:49,180633,7,questionnaire-ynix,,39247161,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1519x729,Prize Draw,,,Consent form,3,Set2,Consent,Over 18,Proficiency English,Prize Draw,No,END QUESTIONNAIRE,8013
END OF FILE
